-101, -119, 142 
-1100, -1124, -1186, -1201 
-1100, -1124, -1186, -1201 
-1100, -1124, -1186, -1388, -1349, -1374 
-1265, -1388, -1349, -1374 
-1265, -1388, -1349, -1374 
-1265, -1388, -1349, -1374 
-1265, -1388, -1349, -1374 
-1265, -1388, -1349, -1455 
-1265, -1388, -1349, -1455 
-1265, -1388, -1349, -1455 
-1265, -1388, -1349, -1455 
-1265, -1388, -1349, -1455 
-1265, -1388, -1349, -1455 
-1265, -1388, -1349, -1455 
-1265, -1388, -1349, -1655, -1605, -1630 
-1526, -1655, -1605, -1630 
-1526, -1655, -1605, -1630 
-1526, -1655, -1605, -1630 
-1526, -1655, -1605, -1630 
-1526, -1655, -1605, -1630 
-1526, -1655, -1605, -1630 
-1526, -1655, -1605, -1630 
-1526, -1655, -1605, -1630 
-1526, -1655, -1605, -16-46 
-11, -75, -47, -46 
-11, -75, -47, -46 
-11, -75, 14, -40, -37 
31, -14, -40, -37 
31, -14, -40, -37 
31, -14, -40, -37 
31, -14, -40, -37 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40, -16 
31, -14, -40,120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
120, 92, 48, 95 
177, 92, 100, 95 
177, 92, 100, 95 
177, 92, 100, 95 
177, 92, 100, 95 
177, 962, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
262, 236, 184, 264 
348, 236, 270, 264 
348, 236, 270, 264 
348, 236, 270, 264 
348, 236, 270, 264 
348, 236, 270, 264 
348, 236, 211, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
511, 477, 431, 501 
594, 477, 514, 501 
594, 477, 514, 501 
594, 477, 514, 501 
594, 477, 514, 501 
594, 477, 594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
594, 558, 514, 593 
697, 558, 616, 593 
697, 558, 616, 593 
697, 558, 616, 593 
697, 558, 616, 593 
697, 558, 616, 593 
697, 558, 616, 593 
697, 558, 6 684 
787, 747, 708, 684 
787, 747, 708, 684 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787, 747, 708, 784 
787,884, 872 
962, 917, 884, 872 
962, 917, 884, 872 
962, 917, 884, 872 
962, 917, 884, 872 
962, 917, 884, 872 
962, 917, 884, 872 
962, 917, 884, 957 
962, 917, 884, 957 
962, 917, 884, 957 
962, 917, 884, 957 
962, 917, 884, 957 
962, 917, 884, 957 
962, 917, 884, 957 
962, 917, 884, 957 
